Borough,Crime,Poverty_AHC,Region,Population,divider,Crime/,KnifeOffence,,,,44642,,
Wandsworth,344,43,South,328367,2.60987,98.67008561,131.8073314,50.06386455,,,10934,,
Tower Hamlets,469,39,East,312273,2.61203,171.9649153,179.5538336,50.06386455,,,,,
Westminster,1134,36,Central,205087,2.89068,295.4843554,392.2952385,50.06386455,,,,,
Newham,551,36,East,350626,3.05909,149.1617849,180.1189243,50.06386455,,,,,
Brent,353,36,West,339816,3.90719,104.1549873,90.34625908,50.06386455,,,,,
Haringey,518,35,North,264238,1.68063,239.6547155,308.2177517,50.06386455,,,,DIVIDER ,673.3
Lewisham,381,35,East,300553,2.16589,127.0804843,175.9092105,50.06386455,,,,,
Enfield,471,34,North,329984,1.83157,176.8805313,257.1564286,50.06386455,,,,,
Camden,314,34,Central,210136,1.95278,153.5244071,160.7964031,50.06386455,,,,,
Ealing,378,30,West,367115,2.09639,114.9874224,180.3099614,50.06386455,,,,,
Hackney,496,29,East,259146,2.62052,192.7249227,189.275411,50.06386455,,,,,
Barking and Dagenham,314,29,East,218869,3.29991,151.4638454,95.15411026,50.06386455,,,,,
Hounslow,278,29,West,288181,2.15187,89.60200042,129.1899604,50.06386455,,,,,
Bexley,155,29,East,246472,2.46472,67.73666257,62.88746795,50.06386455,,,,,
Kensington and Chelsea,216,27.3,Central,143375,1.43375,136.1678477,150.6538797,50.06386455,,,,,
Waltham Forest,342,27,East,278425,2.78425,134.8678295,122.8337973,50.06386455,,,,,
Redbridge,234,27,East,310260,3.1026,101.6666882,75.42061497,50.06386455,,,,,
Lambeth,454,26,Central,317654,3.17654,179.8436526,142.9228028,50.06386455,,,,,
Southwark,516,26,Central,307637,3.07637,161.5672348,167.7301495,50.06386455,,,,,
Harrow,193,26,West,260987,2.60987,65.13734401,73.95004349,50.06386455,,,,,
Barnet,299,25,North,261203,2.61203,68.95859654,114.4703545,50.06386455,,,,,
Greenwich,330,24,East,289068,2.89068,128.2609748,114.15999,50.06386455,,,,,
Hillingdon,217,24,West,305909,3.05909,79.07031681,70.93612806,50.06386455,,,,,
Croydon,464,23,South,390719,3.90719,132.904488,118.7554227,50.06386455,,,,,
Kingston upon Thames,74,23,South,168063,1.68063,55.40826358,44.03110738,50.06386455,,,,,
Islington,424,22,Central,216589,2.16589,176.6874109,195.762481,50.06386455,,,,,
Hammersmith and Fulham,240,20,West,183157,1.83157,114.56941,131.0351229,50.06386455,,,,,
Richmond upon Thames,88,19,West,195278,1.95278,48.14784462,45.0639601,50.06386455,,,,,
Sutton,129,18,South,209639,2.09639,80.18442418,61.53435191,50.06386455,,,,,
Havering,157,17,East,262052,2.62052,64.11675356,59.91177324,50.06386455,,,,,
Bromley,203,17,South,329991,3.29991,24.58372,61.51682925,50.06386455,,,,,
Merton,190,16,South,215187,2.15187,81.73728892,88.29529665,50.06386455,,,,,