Year,Type,Deaths,Total,%
1977,Shooting,28,413,6.779661017
1978,Shooting,35,467,7.494646681
1979,Shooting,49,548,8.941605839
1980,Shooting,17,535,3.177570093
1981,Shooting,31,500,6.2
1982,Shooting,46,557,8.258527828
1983,Shooting,39,482,8.091286307
1984,Shooting,61,537,11.3594041
1985,Shooting,44,536,8.208955224
1986,Shooting,47,563,8.348134991
1987,Shooting,78,599,13.02170284
1988,Shooting,42,547,7.678244973
1989,Shooting,38,521,7.293666027
1990,Shooting,59,555,10.63063063
1991,Shooting,50,623,8.025682183
1992,Shooting,52,581,8.950086059
1993,Shooting,71,565,12.56637168
1994,Shooting,63,632,9.96835443
1995,Shooting,66,662,9.96978852
1996,Shooting,47,586,8.020477816
1997,Shooting,58,609,9.523809524
1998,Shooting,52,609,8.538587849
1999,Shooting,46,642,7.165109034
2000,Shooting,61,672,9.077380952
2001,Shooting,71,764,9.293193717
2002,Shooting,96,793,12.10592686
2003,Shooting,77,942,8.174097665
2004,Shooting,67,772,8.678756477
2005,Shooting,73,779,9.370988447
2006,Shooting,50,708,7.062146893
2007,Shooting,58,710,8.169014085
2008,Shooting,53,729,7.270233196
2009,Shooting,39,639,6.103286385
2010,Shooting,41,595,6.890756303
2011,Shooting,61,633,9.636650869
2012,Shooting,40,525,7.619047619
2013,Shooting,29,542,5.350553506
2014,Shooting,29,519,5.587668593
2015,Shooting,20,504,3.968253968
2016,Shooting,24,541,4.436229205
2017,Shooting,32,676,4.733727811
2018,Shooting,27,698,3.868194842
2019,Shooting,32,648,4.938271605
2020,Shooting,30,695,4.316546763
1977,Knife,135,413,32.68765133
1978,Knife,163,467,34.90364026
1979,Knife,195,548,35.58394161
1980,Knife,151,535,28.22429907
1981,Knife,178,500,35.6
1982,Knife,191,557,34.29084381
1983,Knife,150,482,31.12033195
1984,Knife,187,537,34.82309125
1985,Knife,180,536,33.58208955
1986,Knife,220,563,39.07637655
1987,Knife,200,599,33.38898164
1988,Knife,189,547,34.55210238
1989,Knife,182,521,34.9328215
1990,Knife,178,555,32.07207207
1991,Knife,217,623,34.83146067
1992,Knife,218,581,37.52151463
1993,Knife,182,565,32.21238938
1994,Knife,231,632,36.55063291
1995,Knife,243,662,36.70694864
1996,Knife,197,586,33.61774744
1997,Knife,200,609,32.8407225
1998,Knife,202,609,33.16912972
1999,Knife,201,642,31.30841121
2000,Knife,212,672,31.54761905
2001,Knife,213,764,27.87958115
2002,Knife,261,793,32.91298865
2003,Knife,263,942,27.91932059
2004,Knife,242,772,31.34715026
2005,Knife,262,779,33.63286264
2006,Knife,226,708,31.92090395
2007,Knife,272,710,38.30985915
2008,Knife,268,729,36.76268861
2009,Knife,256,639,40.06259781
2010,Knife,210,595,35.29411765
2011,Knife,237,633,37.44075829
2012,Knife,208,525,39.61904762
2013,Knife,195,542,35.97785978
2014,Knife,203,519,39.11368015
2015,Knife,186,504,36.9047619
2016,Knife,212,541,39.18669131
2017,Knife,216,676,31.95266272
2018,Knife,281,698,40.25787966
2019,Knife,260,648,40.12345679
2020,Knife,275,695,39.56834532
1977,Poison or drugs,6,413,1.452784504
1978,Poison or drugs,12,467,2.569593148
1979,Poison or drugs,12,548,2.189781022
1980,Poison or drugs,9,535,1.682242991
1981,Poison or drugs,15,500,3
1982,Poison or drugs,11,557,1.97486535
1983,Poison or drugs,8,482,1.659751037
1984,Poison or drugs,6,537,1.117318436
1985,Poison or drugs,12,536,2.23880597
1986,Poison or drugs,1,563,0.177619893
1987,Poison or drugs,11,599,1.83639399
1988,Poison or drugs,9,547,1.645338208
1989,Poison or drugs,4,521,0.767754319
1990,Poison or drugs,9,555,1.621621622
1991,Poison or drugs,19,623,3.04975923
1992,Poison or drugs,11,581,1.893287435
1993,Poison or drugs,9,565,1.592920354
1994,Poison or drugs,17,632,2.689873418
1995,Poison or drugs,16,662,2.416918429
1996,Poison or drugs,28,586,4.778156997
1997,Poison or drugs,17,609,2.791461412
1998,Poison or drugs,17,609,2.791461412
1999,Poison or drugs,47,642,7.320872274
2000,Poison or drugs,53,672,7.886904762
2001,Poison or drugs,34,764,4.45026178
2002,Poison or drugs,31,793,3.909205549
2003,Poison or drugs,200,942,21.23142251
2004,Poison or drugs,20,772,2.590673575
2005,Poison or drugs,28,779,3.594351733
2006,Poison or drugs,28,708,3.95480226
2007,Poison or drugs,19,710,2.676056338
2008,Poison or drugs,19,729,2.606310014
2009,Poison or drugs,17,639,2.660406886
2010,Poison or drugs,15,595,2.521008403
2011,Poison or drugs,20,633,3.159557662
2012,Poison or drugs,8,525,1.523809524
2013,Poison or drugs,8,542,1.47601476
2014,Poison or drugs,14,519,2.697495183
2015,Poison or drugs,25,504,4.96031746
2016,Poison or drugs,17,541,3.14232902
2017,Poison or drugs,15,676,2.218934911
2018,Poison or drugs,21,698,3.008595989
2019,Poison or drugs,14,648,2.160493827
2020,Poison or drugs,13,695,1.870503597
1977,Motor Vehicle,6,413,1.452784504
1978,Motor Vehicle,4,467,0.856531049
1979,Motor Vehicle,3,548,0.547445255
1980,Motor Vehicle,12,535,2.242990654
1981,Motor Vehicle,12,500,2.4
1982,Motor Vehicle,8,557,1.436265709
1983,Motor Vehicle,3,482,0.622406639
1984,Motor Vehicle,4,537,0.744878957
1985,Motor Vehicle,1,536,0.186567164
1986,Motor Vehicle,7,563,1.243339254
1987,Motor Vehicle,11,599,1.83639399
1988,Motor Vehicle,8,547,1.462522852
1989,Motor Vehicle,7,521,1.343570058
1990,Motor Vehicle,12,555,2.162162162
1991,Motor Vehicle,13,623,2.086677368
1992,Motor Vehicle,9,581,1.549053356
1993,Motor Vehicle,9,565,1.592920354
1994,Motor Vehicle,5,632,0.791139241
1995,Motor Vehicle,6,662,0.906344411
1996,Motor Vehicle,2,586,0.341296928
1997,Motor Vehicle,12,609,1.97044335
1998,Motor Vehicle,13,609,2.134646962
1999,Motor Vehicle,13,642,2.024922118
2000,Motor Vehicle,11,672,1.636904762
2001,Motor Vehicle,16,764,2.094240838
2002,Motor Vehicle,19,793,2.395964691
2003,Motor Vehicle,21,942,2.229299363
2004,Motor Vehicle,21,772,2.720207254
2005,Motor Vehicle,22,779,2.824133504
2006,Motor Vehicle,12,708,1.694915254
2007,Motor Vehicle,6,710,0.845070423
2008,Motor Vehicle,12,729,1.646090535
2009,Motor Vehicle,10,639,1.564945227
2010,Motor Vehicle,18,595,3.025210084
2011,Motor Vehicle,7,633,1.105845182
2012,Motor Vehicle,5,525,0.952380952
2013,Motor Vehicle,6,542,1.10701107
2014,Motor Vehicle,9,519,1.734104046
2015,Motor Vehicle,8,504,1.587301587
2016,Motor Vehicle,8,541,1.478743068
2017,Motor Vehicle,22,676,3.25443787
2018,Motor Vehicle,17,698,2.435530086
2019,Motor Vehicle,11,648,1.697530864
2020,Motor Vehicle,23,695,3.309352518