country,rateWb,yearWb,rateIlo,yearIlo,rateCia,yearCia,Stabbing Death Rate,Gini Index,Stab100k,unemp,Gini
South Africa,29.2,2020,29.2,2020,28.53,2019,16.95,63.03,16.95,29.2,63.03
Djibouti,26.1,2017,26.1,2017,40,2017,2.44,41.59,2.44,26.1,41.59
Botswana,24.9,2020,22.6,2019,20,2013,8.88,53.33,8.88,24.9,53.33
Eswatini,22.7,2016,22.7,2016,28,2014,9.31,54.58,9.31,22.7,54.58
Lesotho,22.4,2019,22.4,2019,28.1,2014,16.38,44.88,16.38,22.4,44.88
Gabon,20.4,2010,,,28,2015,2.12,38.02,2.12,20.4,38.02
Namibia,19.9,2018,19.9,2018,34,2016,8.08,59.07,8.08,19.9,59.07
Panama,18.6,2020,4.7,2019,6.14,2018,2.39,49.84,2.39,18.6,49.84
Georgia,18.5,2020,18.5,2020,11.8,2016,0.86,35.95,0.86,18.5,35.95
Armenia,18.3,2019,18.3,2019,18.9,2017,0.79,29.88,0.79,18.3,29.88
Montenegro,17.9,2020,15.1,2019,15.82,2019,0.32,38.49,0.32,17.9,38.49
Sudan,17.4,2011,,,19.6,2017,0.19,34.24,0.19,17.4,34.24
Costa Rica,17.4,2020,17.4,2020,8.1,2017,1.85,48.19,1.85,17.4,48.19
Zimbabwe,16.9,2019,16.9,2019,11.3,2014,2.41,50.26,2.41,16.9,50.26
Jordan,16.8,2019,16.8,2019,19.1,2019,0.45,33.66,0.45,16.8,33.66
Greece,16.3,2020,16.3,2020,17.3,2019,0.34,32.89,0.34,16.3,32.89
Bosnia and Herzegovina,15.9,2020,15.7,2019,33.28,2019,0.35,33.03,0.35,15.9,33.03
Spain,15.5,2020,15.5,2020,14.13,2019,0.36,34.72,0.36,15.5,34.72
Rwanda,15.3,2019,15.3,2019,2.7,2014,0.76,43.71,0.76,15.3,43.71
Saint Lucia,15.3,2019,15.3,2019,20,2003,5.57,51.23,5.57,15.3,51.23
Tunisia,15.1,2019,15.1,2019,15.5,2017,0.08,32.82,0.08,15.1,32.82
Colombia,15,2020,15,2020,10.5,2019,6.55,51.33,6.55,15,51.33
Haiti,14.1,2012,,,40.6,2010,7.14,41.1,7.14,14.1,41.1
Brazil,13.7,2020,13.7,2020,11.93,2019,4.56,53.43,4.56,13.7,53.43
Algeria,13.6,2017,13.6,2017,11.7,2017,0.14,27.62,0.14,13.6,27.62
Yemen,13.5,2014,13.5,2014,27,2014,0.34,36.71,0.34,13.5,36.71
Nauru,13.3,2013,,,23,2011,1.88,34.77,1.88,13.3,34.77
Turkey,13.1,2020,13.1,2020,13.68,2019,0.57,41.91,0.57,13.1,41.91
Iraq,13,2017,13,2017,16,2012,0.58,29.54,0.58,13,29.54
Zambia,12.5,2019,12,2018,15,2008,2.26,57.14,2.26,12.5,57.14
South Sudan,12.2,2008,,,,,4.43,44.14,4.43,12.2,44.14
Albania,11.7,2020,11.5,2019,5.83,2019,0.29,33.17,0.29,11.7,33.17
Argentina,11.5,2020,9.8,2019,9.84,2019,1.62,42.9,1.62,11.5,42.9
Nepal,11.4,2017,11.4,2017,3,2017,0.31,32.84,0.31,11.4,32.84
Lebanon,11.3,2019,11.4,2019,9.7,2007,0.53,31.83,0.53,11.3,31.83
Chile,11.2,2020,11.2,2020,7.22,2019,2.09 per 100k,44.44,2.09,11.2,44.44
Honduras,11,2020,5.7,2019,5.6,2017,6.66 per 100k,48.17,6.66,11,48.17
Uruguay,10.5,2020,10.4,2020,7.6,2017,1.62 per 100k,39.68,1.62,10.5,39.68
Mauritania,10.3,2017,10.3,2017,10.2,2017,1.37 per 100k,32.62,1.37,10.3,32.62
Uganda,10.1,2017,9.9,2017,9.4,2014,1.44 per 100k,42.75,1.44,10.1,42.75
Republic of the Congo,10,2012,,,36,2014,2.21 per 100k,48.94,2.21,10,48.94
Iran,9.7,2020,10.7,2019,11.8,2017,0.11 per 100k,42,0.11,9.7,42
Angola,9.6,2014,9.6,2014,6.6,2016,1.49 per 100k,51.27,1.49,9.6,51.27
Canada,9.5,2020,9.5,2020,5.67,2019,0.49 per 100k,33.31,0.49,9.5,33.31
Ukraine,9.5,2020,8.2,2019,8.89,2019,3.35 per 100k,26.62,3.35,9.5,26.62
Laos,9.4,2017,9.4,2017,0.7,2017,3.86 per 100k,38.8,3.86,9.4,38.8
Morocco,9.3,2016,9.3,2016,9.23,2019,0.4 per 100k,39.55,0.4,9.3,39.55
Italy,9.2,2020,9.2,2020,9.88,2019,0.19 per 100k,35.93,0.19,9.2,35.93
Belize,9.1,2019,6.6,2017,9,2017,7.35 per 100k,53.26,7.35,9.1,53.26
Uzbekistan,9,2019,9,2019,5,2017,1.82 per 100k,35.27,1.82,9,35.27
Serbia,9,2020,9,2020,14.1,2017,0.48 per 100k,30.35,0.48,9,30.35
Syria,8.6,2010,,,50,2017,0.49 per 100k,37.51,0.49,8.6,37.51
Nigeria,8.5,2019,8.5,2018,16.5,2017,2.37 per 100k,35.13,2.37,8.5,35.13
Lithuania,8.5,2020,8.5,2020,8.4,2019,1.58 per 100k,35.71,1.58,8.5,35.71
Sweden,8.3,2020,8.3,2020,6.78,2019,0.35 per 100k,29.97,0.35,8.3,29.97
Latvia,8.1,2020,8.1,2020,6.14,2019,2.48 per 100k,35.1,2.48,8.1,35.1
Comoros,8.1,2014,8.1,2014,6.5,2014,2.69 per 100k,45.33,2.69,8.1,45.33
France,8,2020,8,2020,8.12,2019,0.2 per 100k,32.38,0.2,8,32.38
Bolivia,7.9,2020,3.8,2019,4,2017,1.22 per 100k,41.65,1.22,7.9,41.65
Vanuatu,7.9,2019,7.9,2019,1.7,1999,0.31 per 100k,37.63,0.31,7.9,37.63
Egypt,7.8,2019,7.8,2019,7.86,2019,0.09 per 100k,31.53,0.09,7.8,31.53
Niger,7.8,2017,7.8,2017,0.3,2017,3.26 per 100k,34.28,3.26,7.8,34.28
Finland,7.8,2020,7.8,2020,6.63,2019,0.55 per 100k,27.33,0.55,7.8,27.33
Cyprus,7.6,2020,7.6,2020,7.07,2019,0.29 per 100k,32.74,0.29,7.6,32.74
Paraguay,7.5,2020,7.6,2020,5.7,2017,3.41 per 100k,45.65,3.41,7.5,45.65
Croatia,7.5,2020,7.5,2020,8.07,2019,0.35 per 100k,29.73,0.35,7.5,29.73
Peru,7.4,2020,7.1,2020,6.58,2019,0.69 per 100k,41.51,0.69,7.4,41.51
Mongolia,7,2020,7,2020,8,2017,2.53 per 100k,32.74,2.53,7,32.74
Tajikistan,6.9,2016,6.9,2016,2.4,2016,0.79 per 100k,34,0.79,6.9,34
Portugal,6.8,2020,6.8,2020,6.55,2019,0.32 per 100k,33.49,0.32,6.8,33.49
Estonia,6.8,2020,6.8,2020,4.94,2019,1.59 per 100k,30.32,1.59,6.8,30.32
Luxembourg,6.8,2020,6.8,2020,5.36,2019,0.39 per 100k,35.37,0.39,6.8,35.37
Slovakia,6.7,2020,6.7,2020,5,2019,0.45 per 100k,24.97,0.45,6.7,24.97
Australia,6.5,2020,6.5,2020,5.16,2019,0.48 per 100k,34.4,0.48,6.5,34.4
Jamaica,6.5,2020,7.7,2019,7.72,2019,2.87 per 100k,45.46,2.87,6.5,45.46
Mauritius,6.3,2019,6.3,2019,6.65,2019,1.06 per 100k,36.76,1.06,6.3,36.76
Ecuador,6.1,2020,6.1,2020,5.71,2019,2.93 per 100k,45.71,2.93,6.1,45.71
Dominican Republic,6.1,2020,6.4,2019,5.1,2017,4 per 100k,41.92,4,6.1,41.92
Russia,5.6,2020,4.5,2019,4.6,2019,4.32 per 100k,37.47,4.32,5.6,37.47
Denmark,5.6,2020,5.6,2020,3.05,2019,0.22 per 100k,28.17,0.22,5.6,28.17
Ireland,5.6,2020,5.5,2020,4.98,2019,0.16 per 100k,31.36,0.16,5.6,31.36
Belgium,5.5,2020,5.6,2020,5.36,2019,0.36 per 100k,27.21,0.36,5.5,27.21
Iceland,5.5,2020,5.5,2020,3.62,2019,0.23 per 100k,26.13,0.23,5.5,26.13
Austria,5.4,2020,5.4,2020,7.35,2019,0.18 per 100k,30.85,0.18,5.4,30.85
Maldives,5.3,2019,5.3,2019,2.9,2017,0.93 per 100k,31.29,0.93,5.3,31.29
Nicaragua,5.2,2018,5.2,2018,6.4,2017,2.01 per 100k,46.16,2.01,5.2,46.16
Bulgaria,5.1,2020,5.1,2020,5.66,2019,0.67 per 100k,41.28,0.67,5.1,41.28
Kenya,5,2019,5,2019,40,2013,2.43 per 100k,40.78,2.43,5,40.78
Romania,5,2020,5,2020,3.06,2019,0.76 per 100k,35.76,0.76,5,35.76
Guinea,5,2019,5,2019,2.7,2017,2.11 per 100k,33.73,2.11,5,33.73
Slovenia,5,2020,5,2020,7.64,2019,0.25 per 100k,24.63,0.25,5,24.63
Kazakhstan,4.9,2020,4.8,2019,4.8,2019,3.88 per 100k,27.79,3.88,4.9,27.79
Azerbaijan,4.8,2019,4.9,2019,5,2017,0.8 per 100k,26.55,0.8,4.8,26.55
Switzerland,4.8,2020,4.8,2020,2.31,2019,0.16 per 100k,33.14,0.16,4.8,33.14
Burkina Faso,4.7,2018,4.7,2018,77,2004,2.59 per 100k,35.3,2.59,4.7,35.3
Mexico,4.5,2020,4.5,2020,3.49,2019,3.76 per 100k,45.38,3.76,4.5,45.38
Malaysia,4.5,2020,3.3,2019,3.3,2019,0.47 per 100k,41.07,0.47,4.5,41.07
Kyrgyzstan,4.5,2018,4.5,2018,3.18,2019,1.92 per 100k,29.7,1.92,4.5,29.7
Bangladesh,4.4,2017,4.4,2017,4.4,2017,0.31 per 100k,32.39,0.31,4.4,32.39
Norway,4.4,2020,4.4,2020,3.72,2019,0.25 per 100k,27.56,0.25,4.4,27.56
Sri Lanka,4.3,2018,4.8,2019,4.83,2019,1.28 per 100k,39.35,1.28,4.3,39.35
Hungary,4.3,2020,4.3,2020,3.45,2019,0.41 per 100k,29.61,0.41,4.3,29.61
Israel,4.3,2020,3.8,2019,4.4,2020,0.6 per 100k,39.01,0.6,4.3,39.01
Fiji,4.3,2016,4.3,2016,4.5,2017,0.34 per 100k,36.7,0.34,4.3,36.7
Malta,4.3,2020,4.3,2020,0.78,2019,0.31 per 100k,28.67,0.31,4.3,28.67
Seychelles,4.3,2020,3,2019,3,2017,2.14 per 100k,32.13,2.14,4.3,32.13
Ghana,4.2,2017,4.2,2017,11.9,2015,0.83 per 100k,43.52,0.83,4.2,43.52
Pakistan,4.1,2018,4.1,2018,6,2017,1.51 per 100k,31.6,1.51,4.1,31.6
Belarus,4.1,2020,4.2,2019,0.8,2017,2.22 per 100k,25.28,2.22,4.1,25.28
Turkmenistan,4,2010,,,11,2014,1.48 per 100k,40.81,1.48,4,40.81
South Korea,3.9,2020,,,3.76,2019,0.31 per 100k,31.4,0.31,3.9,31.4
Germany,3.8,2020,3.8,2020,4.98,2019,0.23 per 100k,31.87,0.23,3.8,31.87
Netherlands,3.8,2020,3.8,2020,3.41,2019,0.25 per 100k,28.12,0.25,3.8,28.12
United Kingdom,3.7,2019,3.7,2019,3.17,2019,0.08 per 100k,35.15,0.08,3.7,35.15
Togo,3.7,2017,3.7,2017,6.9,2016,1.93 per 100k,43.06,1.93,3.7,43.06
Cameroon,3.5,2014,3.5,2014,4.3,2014,0.85 per 100k,46.64,0.85,3.5,46.64
Mozambique,3.4,2015,3.4,2015,24.5,2017,1.51 per 100k,54,1.51,3.4,54
Ivory Coast,3.3,2017,3.3,2017,9.4,2013,2.44 per 100k,41.47,2.44,3.3,41.47
Poland,3.2,2020,3.2,2020,5.43,2019,0.49 per 100k,30.24,0.49,3.2,30.24
Sierra Leone,3.2,2018,4.7,2014,15,2017,0.48 per 100k,35.69,0.48,3.2,35.69
Trinidad and Tobago,3.2,2016,3.2,2016,4.9,2017,3.69 per 100k,40.27,3.69,3.2,40.27
Guyana,3.2,2018,14,2018,11.1,2013,6.5 per 100k,45.12,6.5,3.2,45.12
Liberia,3.1,2016,3.1,2016,2.8,2014,0.73 per 100k,35.27,0.73,3.1,35.27
Senegal,2.9,2019,3.6,2017,48,2007,0.32 per 100k,40.29,0.32,2.9,40.29
Japan,2.8,2020,2.8,2020,2.36,2019,0.09 per 100k,32.85,0.09,2.8,32.85
Papua New Guinea,2.6,2011,,,2.5,2017,3.57 per 100k,41.85,3.57,2.6,41.85
Philippines,2.5,2020,2.2,2019,5.11,2019,4.9 per 100k,37.81,4.9,2.5,37.81
Czech Republic,2.5,2020,2.6,2020,2.8,2019,0.32 per 100k,24.99,0.32,2.5,24.99
Bhutan,2.5,2015,2.5,2015,3.2,2017,0.19 per 100k,37.44,0.19,2.5,37.44
Vietnam,2.4,2020,2.4,2020,3.11,2018,0.75 per 100k,35.72,0.75,2.4,35.72
Ethiopia,2.3,2013,,,17.5,2012,1.84 per 100k,34.99,1.84,2.3,34.99
Guatemala,2.2,2019,2.2,2019,2.3,2017,3.08 per 100k,48.28,3.08,2.2,48.28
United Arab Emirates,2.2,2019,2.2,2019,1.6,2016,0.1 per 100k,25.97,0.1,2.2,25.97
Madagascar,1.8,2015,1.8,2015,1.8,2017,0.54 per 100k,42.65,0.54,1.8,42.65
Mali,1.6,2018,1.6,2018,7.9,2017,3.6 per 100k,33.04,3.6,1.6,33.04
Benin,1.5,2018,,,1,2014,1.93 per 100k,47.76,1.93,1.5,47.76
Malawi,1.3,2020,5.8,2017,20.4,2013,0.44 per 100k,44.69,0.44,1.3,44.69
Thailand,1.1,2020,0.7,2019,0.99,2019,1.15 per 100k,34.86,1.15,1.1,34.86
Chad,1.1,2018,1.1,2018,,,2.04 per 100k,43.32,2.04,1.1,43.32
Solomon Islands,0.7,2013,,,,,1.88 per 100k,37.05,1.88,0.7,37.05
Myanmar,0.5,2019,0.5,2019,4,2017,0.53 per 100k,30.7,0.53,0.5,30.7
El Salvador,0.1,2020,4.2,2019,7,2017,5.69 per 100k,38.78,5.69,0.1,38.78
Taiwan,,,3.7,2019,3.73,2019,0.28 per 100k,31.48,0.28,3.73,31.48
Somalia,,,,,,,3.76 per 100k,36.82,3.76,,36.82
Central African Republic,,,,,6.9,2017,3.41 per 100k,56.24,3.41,6.9,56.24
