Borough,2021.Knife.crime
Westminster,606
Haringey,633
Hackney,501
Enfield,583
Lambeth,571
Tower Hamlets,537
Islington,383
Newham,523
Southwark,495
Barking & Dagenham,331
Croydon,519
Waltham Forest,375
Greenwich,371
Camden,323
Ealing,421
Lewisham,381
Kensington & Chelsea,196
Average,342
Hammersmith & Fulham,210
Brent,353
Wandsworth,324
Redbridge,315
Hounslow,258
Hillingdon,241
Merton,176
Sutton,168
Barnet,268
Harrow,170
Bexley,167
Havering,168
Bromley,180
Richmond upon Thames,94
Kingston upon Thames,93