Year,16-24,25-34,65-74
1993,36.2,15.7,4.7
1994,43.8,14.9,4.1
1995,43.7,17.3,4.7
1996,44,18.5,4.2
1997,44,18.5,4.7
1998,43.1,17.9,4.2
1999,46.4,19.2,4.1
2000,43,19,4.5
2001,44.6,20.6,3.9
2002,43,21.1,3.7
2003,46.6,22.6,3.8
2004,54.2,24.4,3.5
2005,50.8,26.1,3.8
2006,48.6,25.5,4.7
2007,51.4,28.2,4.6
2008,58.1,31,4.2
2009,62.5,36.4,4.3
2010,64.8,40.6,5.3
2011,68,40.9,5.3
2012,67.7,44.6,5.1
2013,65.4,48.2,6
2014,70.7,45.5,6.4
2015,64.3,46.1,6.4
2016,66.2,45.7,7
2017,67.8,43.7,6