Club,Expenditure,Goals,Attendance
Arsenal,165.6,61,59776
Manchester United,142,57,72992
Chelsea,118,76,36424
Manchester City,117.5,99,52739
Aston Villa,99.82,52,41838
West Ham United,74.5,60,57915
Crystal Palace,73.44,50,24282
Leicester City,67.6,62,32440
Tottenham Hotspur,66.9,69,56523
Leeds United,58.9,42,36308
Brighton & Hove Albion,57,42,30988
Southampton,43.1,43,29939
Liverpool,40,94,53027
Brentford,36.7,48,16912
Wolves,32.3,38,30725
Newcastle,29.4,44,51487
Everton,2,43,38441