Date,BTC,ETH
"Jan 01, 2023",16731.3,1216.34
"Dec 25, 2022",16537.4,1195.67
"Dec 18, 2022",16837.2,1220.46
"Dec 11, 2022",16777.1,1187.18
"Dec 04, 2022",17127.2,1266.62
"Nov 27, 2022",16884.5,1240.46
"Nov 20, 2022",16456.5,1205.15
"Nov 13, 2022",16699.2,1217.65
"Nov 06, 2022",16795.2,1256.29
"Oct 30, 2022",21301.6,1627.07
"Oct 23, 2022",20809.8,1619.69
"Oct 16, 2022",19204.8,1313.64
"Oct 09, 2022",19068.7,1274.57
"Oct 02, 2022",19415,1315.05
"Sep 25, 2022",19311.9,1311.8
"Sep 18, 2022",18925.2,1317
"Sep 11, 2022",20113.5,1468.79
"Sep 04, 2022",21650.4,1774.38
"Aug 28, 2022",19831.4,1557.55
"Aug 21, 2022",20033.9,1490.83
"Aug 14, 2022",21138.9,1575.6
"Aug 07, 2022",24442.5,1983.5
"Jul 31, 2022",22944.2,1690.27
"Jul 24, 2022",23634.2,1695.97
"Jul 17, 2022",22460.4,1549.61
"Jul 10, 2022",21209.9,1356.08
"Jul 03, 2022",21587.5,1216.94
"Jun 26, 2022",19243.2,1066.6
"Jun 19, 2022",21489.9,1241.76
"Jun 12, 2022",18986.5,995.61
"Jun 05, 2022",28403.4,1531.42
"May 29, 2022",29864.3,1804.37
"May 22, 2022",29027.1,1792.68
"May 15, 2022",29434.6,1975.12
"May 08, 2022",30080.4,2056.3
"May 01, 2022",35468,2636.03
"Apr 24, 2022",37650,2727.18
"Apr 17, 2022",39418,2931.9
"Apr 10, 2022",40382,3058.96
"Apr 03, 2022",42767,3259.35
"Mar 27, 2022",45811,3442.34
"Mar 20, 2022",44548,3146.01
"Mar 13, 2022",42233,2949.92
"Mar 06, 2022",38814.3,2569.8
"Feb 27, 2022",39395.8,2665.42
"Feb 20, 2022",39115.5,2776.96
"Feb 13, 2022",40090.3,2763.81
"Feb 06, 2022",42205.2,2917.1
"Jan 30, 2022",41412.1,3013.81
"Jan 23, 2022",38170.8,2600.02
"Jan 16, 2022",35075.2,2412.52
"Jan 09, 2022",43097,3327.74
"Jan 02, 2022",41672,3080.02
"Dec 26, 2021",47738,3765.67
"Dec 19, 2021",50406.4,4093.14
"Dec 12, 2021",46856.2,3959.83
"Dec 05, 2021",49314.5,4075.66
"Nov 28, 2021",49195.2,4123.46
"Nov 21, 2021",54765.9,4094.8
"Nov 14, 2021",59717.6,4408.85
"Nov 07, 2021",64398.6,4644.61
"Oct 31, 2021",61483.9,4517.36
"Oct 24, 2021",61840.1,4320.65
"Oct 17, 2021",61312.5,4168.85
"Oct 10, 2021",60861.1,3827.55
"Oct 03, 2021",54942.5,3574.2
"Sep 26, 2021",47666.9,3388.97
"Sep 19, 2021",42686.8,2922.55
"Sep 12, 2021",48306.7,3435.97
"Sep 05, 2021",45161.9,3267.33
"Aug 29, 2021",49918.4,3884.97
"Aug 22, 2021",48897.1,3243.9
"Aug 15, 2021",48875.8,3223.96
"Aug 08, 2021",47081.5,3264.69
"Aug 01, 2021",44614.2,3158
"Jul 25, 2021",41553.7,2532.19
"Jul 18, 2021",33824.8,2151.85
"Jul 11, 2021",31518.6,1897.98
"Jul 04, 2021",33510.6,2111.12
"Jun 27, 2021",34742.8,2224.7
"Jun 20, 2021",32243.4,1830.62
"Jun 13, 2021",35513.4,2166.91
"Jun 06, 2021",35467.5,2368.47
"May 30, 2021",35520,2628.98
"May 23, 2021",34584.6,2276.07
"May 16, 2021",37448.3,2291.6
"May 09, 2021",46708.8,3641.65
"May 02, 2021",58840.1,3905.55
"Apr 25, 2021",57807.1,2944.66
"Apr 18, 2021",50088.9,2215.93
"Apr 11, 2021",60041.9,2318.33
"Apr 04, 2021",59748.4,2133.79
"Mar 28, 2021",57059.9,2008.59
"Mar 21, 2021",55862.9,1713.01
"Mar 14, 2021",58093.4,1804.6
"Mar 07, 2021",61195.3,1921.13
"Feb 28, 2021",48855.6,1649.19
"Feb 21, 2021",46136.7,1458.93
"Feb 14, 2021",55923.7,1913.88
"Feb 07, 2021",47168.7,1815.49
"Jan 31, 2021",39256.6,1676.63
"Jan 24, 2021",34283.1,1376.96
"Jan 17, 2021",32088.9,1233.4
"Jan 10, 2021",36019.5,1228.27
"Jan 03, 2021",40151.9,1275.58
"Dec 27, 2020",32193.3,774.5
"Dec 20, 2020",26454.4,636.58
"Dec 13, 2020",23844,658.17
"Dec 06, 2020",18808.9,567.78
"Nov 29, 2020",19146.5,596.68
"Nov 22, 2020",17730.7,537.74
"Nov 15, 2020",18687.2,551.91
"Nov 08, 2020",16071,460.7
"Nov 01, 2020",14828.4,435.4
"Oct 25, 2020",13797.3,386.42
"Oct 18, 2020",13117.2,411.92
"Oct 11, 2020",11362.1,368.63
"Oct 04, 2020",11298.4,370.16
"Sep 27, 2020",10544.2,345.6
"Sep 20, 2020",10727.9,354.25
"Sep 13, 2020",11081.8,385.25
"Sep 06, 2020",10441.9,387.98
"Aug 30, 2020",10092.2,334.91
"Aug 23, 2020",11468.1,398.8
"Aug 16, 2020",11661.3,395.56
"Aug 09, 2020",11845.3,432.18
"Aug 02, 2020",11764.3,396.76
"Jul 26, 2020",11803.1,387.14
"Jul 19, 2020",9704.1,305.32
"Jul 12, 2020",9170.2,235.75
"Jul 05, 2020",9233.3,239.2
"Jun 28, 2020",9134.4,229.15
"Jun 21, 2020",9008.3,221.06
"Jun 14, 2020",9358.8,228.86
"Jun 07, 2020",9471.3,238.22
"May 31, 2020",9669.6,242
"May 24, 2020",9692.5,243.63
"May 17, 2020",9177,206.62
"May 10, 2020",9379.5,200.51
"May 03, 2020",9554.6,210.22
"Apr 26, 2020",8966.3,213.96
"Apr 19, 2020",7540.4,194.01
"Apr 12, 2020",7230.8,187.45
"Apr 05, 2020",6867.8,158.18
"Mar 29, 2020",6857.4,144.01
"Mar 22, 2020",6233.7,131.03
"Mar 15, 2020",6186.2,132.58
"Mar 08, 2020",5182.7,122.69
"Mar 01, 2020",8887.8,237.32
"Feb 23, 2020",8543.7,217.52
"Feb 16, 2020",9655.7,261.64
"Feb 09, 2020",9907.7,264.87
"Feb 02, 2020",9895.5,223.23
"Jan 26, 2020",9381.6,183.64
"Jan 19, 2020",8341.6,160.44
"Jan 12, 2020",8916.3,174.19
"Jan 05, 2020",8024.1,142.67
"Dec 29, 2019",7376.8,134.33
"Dec 22, 2019",7321.5,128.35
"Dec 15, 2019",7156.2,127.61
"Dec 08, 2019",7080.8,142.03
"Dec 01, 2019",7510.9,148.28
"Nov 24, 2019",7546.6,151.95
"Nov 17, 2019",7324.1,152.46
"Nov 10, 2019",8497.3,182.42
"Nov 03, 2019",8804.5,184.96
"Oct 27, 2019",9300.6,183.01
"Oct 20, 2019",9230.6,179.62
"Oct 13, 2019",7957.3,171.91
"Oct 06, 2019",8304.4,179.87
"Sep 29, 2019",8127.3,176.43
"Sep 22, 2019",8208.5,173.62
"Sep 15, 2019",9993,215.22
"Sep 08, 2019",10337.3,188.16
"Sep 01, 2019",10461.1,177.74
"Aug 25, 2019",9594.4,171.62
"Aug 18, 2019",10131,190.15
"Aug 11, 2019",10218.1,184.81
"Aug 04, 2019",11314.5,205.93
"Jul 28, 2019",10815.7,220.89
"Jul 21, 2019",9492.1,206.62
"Jul 14, 2019",10826.7,227.86
"Jul 07, 2019",11364.9,269.16
"Jun 30, 2019",11268,288.08
"Jun 23, 2019",11906.5,318.48
"Jun 16, 2019",10721.7,310.38
"Jun 09, 2019",8812.5,267.75
"Jun 02, 2019",7901.4,243.42
"May 26, 2019",8545.7,264.31
"May 19, 2019",8027.4,250.68
"May 12, 2019",7262.6,233.89
"May 05, 2019",7190.3,192.27
"Apr 28, 2019",5830.9,163.68
"Apr 21, 2019",5265.9,159.41
"Apr 14, 2019",5290.2,172.73
"Apr 07, 2019",5051.8,163.19
"Mar 31, 2019",5046.2,165.55
"Mar 24, 2019",4111.8,142.65
"Mar 17, 2019",4002.5,137.53
"Mar 10, 2019",4006.4,141.15
"Mar 03, 2019",3944.3,137.52
"Feb 24, 2019",3823.1,132.76
"Feb 17, 2019",4120.4,158.3
"Feb 10, 2019",3616.8,122.87
"Feb 03, 2019",3661.4,119.44
"Jan 27, 2019",3502.5,110.68
"Jan 20, 2019",3570.9,115.83
"Jan 13, 2019",3677.8,123.02
"Jan 06, 2019",3597.2,123.75
"Dec 30, 2018",3785.4,153.49
"Dec 23, 2018",3706.8,133.67
"Dec 16, 2018",3964.4,115.84
"Dec 09, 2018",3228.7,83.9
"Dec 02, 2018",3430.4,90.57
"Nov 25, 2018",4196.2,118.23
"Nov 18, 2018",3920.4,114.43
"Nov 11, 2018",5621.8,176.53
"Nov 04, 2018",6427.1,213.21
"Oct 28, 2018",6386.2,200.23
"Oct 21, 2018",6494.2,204.36
"Oct 14, 2018",6572.2,208.04
"Oct 07, 2018",6321.7,201.22
"Sep 30, 2018",6596.3,225.18
"Sep 23, 2018",6603.9,231.87
"Sep 16, 2018",6729.6,240.82
"Sep 09, 2018",6519,221.94
"Sep 02, 2018",6184.3,196.79
"Aug 26, 2018",7189.6,295.31
"Aug 19, 2018",6734.8,277.61
"Aug 12, 2018",6379.1,293.89
"Aug 05, 2018",6231.6,317.59
"Jul 29, 2018",7014.3,407.09
"Jul 22, 2018",8234.1,468.78
"Jul 15, 2018",7408.7,461.52
"Jul 08, 2018",6254.8,434.09
"Jul 01, 2018",6765.5,485.4
"Jun 24, 2018",6398.9,452.67
"Jun 17, 2018",6167.3,474.14
"Jun 10, 2018",6505.8,496.93
"Jun 03, 2018",7515.8,593.8
"May 27, 2018",7646.6,591.3
"May 20, 2018",7361.3,586.76
"May 13, 2018",8245.1,696.76
"May 06, 2018",8459.5,683.94
"Apr 29, 2018",9853.5,818.33
"Apr 22, 2018",9352.4,683.49
"Apr 15, 2018",8923.1,605.59
"Apr 08, 2018",8004.4,502.52
"Apr 01, 2018",6905.7,384.87
"Mar 25, 2018",6938.2,393.96
"Mar 18, 2018",8547.4,520.45
"Mar 11, 2018",7874.9,550.27
"Mar 04, 2018",8762,682.52
"Feb 25, 2018",11402.3,855.91
"Feb 18, 2018",9704.3,834.36
"Feb 11, 2018",11073.5,971.54
"Feb 04, 2018",8559.6,851.39
"Jan 28, 2018",9241.1,971.49
"Jan 21, 2018",11467.5,1114.8
"Jan 14, 2018",12858.9,1146
"Jan 07, 2018",14292.2,1380
"Dec 31, 2017",17172.3,1004.3
"Dec 24, 2017",12531.5,682.22
"Dec 17, 2017",14396.5,672.59
"Dec 10, 2017",19345.5,683.25
"Dec 03, 2017",14843.4,460.92
"Nov 26, 2017",10912.7,455.51
"Nov 19, 2017",8754.7,464
"Nov 12, 2017",7780.9,346.68
"Nov 05, 2017",6339.9,313.07
"Oct 29, 2017",7363.8,299.48
"Oct 22, 2017",5726.6,293.49
"Oct 15, 2017",6006.6,299.23
"Oct 08, 2017",5824.7,339.24
"Oct 01, 2017",4435.8,311.46
"Sep 24, 2017",4360.6,303.44
"Sep 17, 2017",3788,285.9
"Sep 10, 2017",3698.9,253
"Sep 03, 2017",4335.1,303.08
"Aug 27, 2017",4573.8,345
"Aug 20, 2017",4352.3,332.72
"Aug 13, 2017",4150.5,292.78
"Aug 06, 2017",3871.6,307.22
"Jul 30, 2017",3262.8,253.87
"Jul 23, 2017",2733.5,206.76
"Jul 16, 2017",2836.5,232.01
"Jul 09, 2017",1975.1,170.15
"Jul 02, 2017",2564.9,245.23
"Jun 25, 2017",2424.6,255
"Jun 18, 2017",2590.1,296.89
"Jun 11, 2017",2655.1,364.56
"Jun 04, 2017",2900.3,325.88
"May 28, 2017",2545.4,217.01
"May 21, 2017",2052.4,149.99
"May 14, 2017",2040.2,123.03
"May 07, 2017",1763.7,89.9
"Apr 30, 2017",1545.3,96.65
"Apr 23, 2017",1336.3,73.55
"Apr 16, 2017",1240.9,52.15
"Apr 09, 2017",1177,49.71
"Apr 02, 2017",1180.8,44.51
"Mar 26, 2017",1086.1,50.59
"Mar 19, 2017",966.3,50.75
"Mar 12, 2017",971.4,34.2
"Mar 05, 2017",1179.2,21.3
"Feb 26, 2017",1264.3,18.5
"Feb 19, 2017",1149.1,13.55
"Feb 12, 2017",1052.3,12.79
"Feb 05, 2017",1008.3,11.33
"Jan 29, 2017",1031.8,11.32
"Jan 22, 2017",918.5,10.51
"Jan 15, 2017",919.8,10.95
"Jan 08, 2017",819.6,9.67
"Jan 01, 2017",888.9,9.84
"Dec 25, 2016",963.4,8
"Dec 18, 2016",891.1,7.25
"Dec 11, 2016",787.2,7.73
"Dec 04, 2016",774,8.12
"Nov 27, 2016",764.2,7.91
"Nov 20, 2016",734.1,9.33
"Nov 13, 2016",747.9,9.73
"Nov 06, 2016",704.3,10.01
"Oct 30, 2016",702.1,11.17
"Oct 23, 2016",715,10.38
"Oct 16, 2016",655.5,12.29
"Oct 09, 2016",637,12.01
"Oct 02, 2016",617.7,12.26
"Sep 25, 2016",613.4,13.18
"Sep 18, 2016",602.6,12.86
"Sep 11, 2016",607.1,12.8
"Sep 04, 2016",624.5,12.13
"Aug 28, 2016",598.8,12.01
"Aug 21, 2016",570.3,11.2
"Aug 14, 2016",582.6,11.26
"Aug 07, 2016",584.6,11.48
"Jul 31, 2016",586.5,10.16
"Jul 24, 2016",654.7,12.52
"Jul 17, 2016",655.2,14.25
"Jul 10, 2016",660.7,11.72
"Jul 03, 2016",651.8,10.9
"Jun 26, 2016",698.1,12.14
"Jun 19, 2016",663.5,14.31
"Jun 12, 2016",753.8,11.41
"Jun 05, 2016",591.6,14.15
"May 29, 2016",572,13.81
"May 22, 2016",524.2,11.98
"May 15, 2016",443.6,14
"May 08, 2016",456.4,10.16
"May 01, 2016",458.5,9.35
"Apr 24, 2016",448.5,8.87
"Apr 17, 2016",450.1,8.46
"Apr 10, 2016",430,8.54
"Apr 03, 2016",418,9.15
"Mar 27, 2016",418.5,11.61
"Mar 20, 2016",416.5,11
"Mar 13, 2016",408.7,10.31
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,